IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;995759;28;2494155;6;280401008;1;0;UN;GUICHE SERQU1600GR;*GUICHE SERRANO. QUESO GRANDE 1600GR;999999;624999,38;1;9999;BC;KG;2018-07-25T17:52:34
J512;995759;28;209000132896;6;280401008;0;0;UN;GUICHE SERQU1600GR;*GUICHE SERRANO. QUESO GRANDE 1600GR;999999;624999,38;1;9999;IE;KG;2018-07-25T16:53:47
J512;995760;55;880105180117;0;550122002;0;0;UN;CARTRIDGE CP T117;*CARTRIDGE CP PRINT T117;297;297;1;7659;HE;  ;2018-07-25T17:52:34
J512;995761;55;75375908386;1;550116006;0;0;UN;GPS GARMIN NUV 200;*GPS GARMIN NUVI 200;14997;14997;1;7822;UC;  ;2018-07-25T17:17:39
J512;995762;25;2494185;3;250901001;1;1;KG;QUESO CAB  NAT;*QUESO FERMENTA CABRA FRESCO NATURAL KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995764;25;2494187;7;250901001;1;1;KG;QUESO CAB  ACE;*QUESO FERMENTA CABRA FRESCO ACEITUNA KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995765;25;2494188;4;250901001;1;1;KG;QUESO CAB  SAL;*QUESO FERMENTA CABRA FRESCO SALMON KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995766;25;2494189;1;250804001;1;1;KG;QUESO CAB  MER;*QUESO FERMENTA CABRA FRESCO MERKEN KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995767;25;2494190;7;250901001;1;1;KG;QUESO CAB MAD;*QUESO FERMENTA CABRA MADURO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995768;25;2494191;4;250901001;1;1;KG;QUESO CAB  ACE;*QUESO FERMENTA CABRA MADURO ACEITUNA KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
